2026-08-11 16:13:29,598 [INFO] __main__: [407/1439] 301217.SZ: fetched=215, saved=143, filtered=71, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:29,728 [INFO] __main__: [408/1439] 301218.SZ: fetched=133, saved=59, filtered=74, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:30,223 [INFO] __main__: [409/1439] 301219.SZ: fetched=128, saved=125, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:32,049 [INFO] __main__: [410/1439] 301221.SZ: fetched=259, saved=254, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:32,361 [INFO] __main__: [411/1439] 301226.SZ: fetched=192, saved=75, filtered=114, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:32,484 [INFO] __main__: [412/1439] 301229.SZ: fetched=81, saved=80, filtered=1, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:33,576 [INFO] __main__: [413/1439] 301232.SZ: fetched=178, saved=177, filtered=1, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:34,473 [INFO] __main__: [414/1439] 301233.SZ: fetched=232, saved=117, filtered=115, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:35,408 [INFO] __main__: [415/1439] 301236.SZ: fetched=68, saved=68, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:36,531 [INFO] __main__: [416/1439] 301237.SZ: fetched=44, saved=42, filtered=2, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:36,685 [INFO] __main__: [417/1439] 301238.SZ: fetched=191, saved=186, filtered=3, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:37,224 [INFO] __main__: [418/1439] 301246.SZ: fetched=168, saved=153, filtered=14, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:38,160 [INFO] __main__: [419/1439] 301248.SZ: fetched=63, saved=63, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:39,136 [INFO] __main__: [420/1439] 301251.SZ: fetched=169, saved=169, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:42,734 [INFO] __main__: [421/1439] 301255.SZ: fetched=37, saved=37, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:45,099 [INFO] __main__: [422/1439] 301260.SZ: fetched=443, saved=404, filtered=38, err=0 | 进度: 64只/分, 预计剩余: 16分
2026-08-11 16:13:46,016 [INFO] __main__: [423/1439] 301261.SZ: fetched=95, saved=95, filtered=0, err=0 | 进度: 64只/分, 预计剩余: 16分
2026-08-11 16:13:46,814 [INFO] __main__: [424/1439] 301268.SZ: fetched=128, saved=78, filtered=50, err=0 | 进度: 64只/分, 预计剩余: 16分
2026-08-11 16:13:46,964 [INFO] __main__: [425/1439] 301275.SZ: fetched=207, saved=206, filtered=1, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:47,143 [INFO] __main__: [426/1439] 301278.SZ: fetched=201, saved=201, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 16分
