2026-08-11 16:23:43,600 [INFO] __main__: [457/795] 688047.SH: fetched=1000, saved=16, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 5分
2026-08-11 16:23:43,838 [INFO] __main__: [458/795] 688048.SH: fetched=322, saved=207, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 5分
2026-08-11 16:23:44,044 [INFO] __main__: [459/795] 688049.SH: fetched=516, saved=77, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 5分
2026-08-11 16:23:44,103 [INFO] __main__: [460/795] 688051.SH: fetched=25, saved=25, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 5分
2026-08-11 16:23:44,184 [INFO] __main__: [461/795] 688052.SH: fetched=56, saved=56, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 5分
2026-08-11 16:23:45,293 [INFO] __main__: [462/795] 688053.SH: fetched=59, saved=59, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 5分
2026-08-11 16:23:45,632 [INFO] __main__: [463/795] 688057.SH: fetched=13, saved=12, filtered=1, err=0 | 进度: 71只/分, 预计剩余: 5分
2026-08-11 16:23:45,777 [INFO] __main__: [464/795] 688059.SH: fetched=97, saved=97, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 5分
2026-08-11 16:23:45,966 [INFO] __main__: [465/795] 688061.SH: fetched=175, saved=33, filtered=0, err=0 | 进度: 72只/分, 预计剩余: 5分
2026-08-11 16:23:46,115 [INFO] __main__: [466/795] 688063.SH: fetched=93, saved=93, filtered=0, err=0 | 进度: 72只/分, 预计剩余: 5分
2026-08-11 16:23:46,349 [INFO] __main__: [467/795] 688066.SH: fetched=274, saved=266, filtered=8, err=0 | 进度: 72只/分, 预计剩余: 5分
2026-08-11 16:23:46,424 [INFO] __main__: [468/795] 688071.SH: fetched=45, saved=45, filtered=0, err=0 | 进度: 72只/分, 预计剩余: 5分
2026-08-11 16:23:46,773 [INFO] __main__: [469/795] 688072.SH: fetched=1000, saved=13, filtered=206, err=0 | 进度: 72只/分, 预计剩余: 5分
2026-08-11 16:23:46,856 [INFO] __main__: [470/795] 688077.SH: fetched=46, saved=46, filtered=0, err=0 | 进度: 72只/分, 预计剩余: 5分
2026-08-11 16:23:46,988 [INFO] __main__: [471/795] 688078.SH: fetched=38, saved=38, filtered=0, err=0 | 进度: 72只/分, 预计剩余: 4分
2026-08-11 16:23:47,158 [INFO] __main__: [472/795] 688080.SH: fetched=169, saved=118, filtered=0, err=0 | 进度: 72只/分, 预计剩余: 4分
2026-08-11 16:23:47,221 [INFO] __main__: [473/795] 688081.SH: fetched=3, saved=2, filtered=1, err=0 | 进度: 73只/分, 预计剩余: 4分
2026-08-11 16:23:47,969 [INFO] __main__: [474/795] 688082.SH: fetched=253, saved=54, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 4分
2026-08-11 16:23:49,773 [INFO] __main__: [475/795] 688084.SH: fetched=9, saved=9, filtered=0, err=0 | 进度: 72只/分, 预计剩余: 4分
2026-08-11 16:23:49,952 [INFO] __main__: [476/795] 688085.SH: fetched=26, saved=21, filtered=4, err=0 | 进度: 72只/分, 预计剩余: 4分
2026-08-11 16:23:51,274 [INFO] __main__: [477/795] 688088.SH: fetched=95, saved=95, filtered=0, err=0 | 进度: 72只/分, 预计剩余: 4分
2026-08-11 16:23:51,346 [INFO] __main__: [478/795] 688090.SH: fetched=32, saved=15, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 4分
2026-08-11 16:23:51,422 [INFO] __main__: [479/795] 688092.SH: fetched=11, saved=11, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 4分
2026-08-11 16:23:51,734 [INFO] __main__: [480/795] 688097.SH: fetched=400, saved=112, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 4分
2026-08-11 16:23:51,992 [INFO] __main__: [481/795] 688099.SH: fetched=440, saved=33, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 4分
2026-08-11 16:23:53,183 [INFO] __main__: [482/795] 688101.SH: fetched=926, saved=73, filtered=24, err=0 | 进度: 73只/分, 预计剩余: 4分
