2026-08-11 15:29:42,285 [WARNING] __main__: 000795.SZ 触发频率限制，等待 4s 后重试 (attempt 2/3)
2026-08-11 15:29:46,582 [WARNING] __main__: 000795.SZ 触发频率限制，等待 8s 后重试 (attempt 3/3)
2026-08-11 15:31:30,113 [INFO] __main__: [230/2280] 002148.SZ: fetched=166, saved=103, filtered=63, err=0 | 进度: 100只/分, 预计剩余: 20分
2026-08-11 15:31:30,160 [INFO] __main__: [231/2280] 002149.SZ: fetched=50, saved=5, filtered=45, err=0 | 进度: 100只/分, 预计剩余: 20分
2026-08-11 15:31:30,238 [INFO] __main__: [232/2280] 002151.SZ: fetched=104, saved=99, filtered=5, err=0 | 进度: 101只/分, 预计剩余: 20分
2026-08-11 15:31:30,376 [INFO] __main__: [233/2280] 002152.SZ: fetched=437, saved=304, filtered=133, err=0 | 进度: 101只/分, 预计剩余: 20分
2026-08-11 15:31:30,488 [INFO] __main__: [234/2280] 002156.SZ: fetched=252, saved=252, filtered=0, err=0 | 进度: 102只/分, 预计剩余: 20分
2026-08-11 15:31:30,526 [WARNING] __main__: 002160.SZ 触发频率限制，等待 2s 后重试 (attempt 1/3)
2026-08-11 15:31:32,806 [INFO] __main__: [235/2280] 002160.SZ: fetched=40, saved=40, filtered=0, err=0 | 进度: 101只/分, 预计剩余: 20分
2026-08-11 15:31:32,896 [INFO] __main__: [236/2280] 002161.SZ: fetched=156, saved=115, filtered=41, err=0 | 进度: 101只/分, 预计剩余: 20分
2026-08-11 15:31:33,089 [INFO] __main__: [237/2280] 002162.SZ: fetched=146, saved=35, filtered=111, err=0 | 进度: 101只/分, 预计剩余: 20分
2026-08-11 15:31:33,164 [INFO] __main__: [238/2280] 002164.SZ: fetched=79, saved=43, filtered=36, err=0 | 进度: 101只/分, 预计剩余: 20分
2026-08-11 15:31:33,343 [INFO] __main__: [239/2280] 002167.SZ: fetched=154, saved=154, filtered=0, err=0 | 进度: 102只/分, 预计剩余: 20分
2026-08-11 15:31:33,458 [INFO] __main__: [240/2280] 002170.SZ: fetched=209, saved=166, filtered=43, err=0 | 进度: 102只/分, 预计剩余: 20分
2026-08-11 15:31:33,615 [INFO] __main__: [241/2280] 002171.SZ: fetched=292, saved=292, filtered=0, err=0 | 进度: 103只/分, 预计剩余: 20分
2026-08-11 15:31:33,694 [INFO] __main__: [242/2280] 002176.SZ: fetched=134, saved=133, filtered=1, err=0 | 进度: 103只/分, 预计剩余: 20分
2026-08-11 15:31:33,947 [INFO] __main__: [243/2280] 002179.SZ: fetched=688, saved=522, filtered=166, err=0 | 进度: 103只/分, 预计剩余: 20分
2026-08-11 15:31:34,019 [INFO] __main__: [244/2280] 002180.SZ: fetched=192, saved=192, filtered=0, err=0 | 进度: 104只/分, 预计剩余: 20分
2026-08-11 15:31:34,082 [INFO] __main__: [245/2280] 002182.SZ: fetched=119, saved=75, filtered=44, err=0 | 进度: 104只/分, 预计剩余: 20分
