2026-08-11 16:21:47,992 [INFO] __main__: [319/795] 603619.SH: fetched=402, saved=108, filtered=7, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:48,263 [INFO] __main__: [320/795] 603626.SH: fetched=462, saved=77, filtered=16, err=0 | 进度: 71只/分, 预计剩余: 7分
2026-08-11 16:21:50,760 [INFO] __main__: [321/795] 603628.SH: fetched=121, saved=120, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:50,901 [INFO] __main__: [322/795] 603629.SH: fetched=159, saved=137, filtered=22, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:51,852 [INFO] __main__: [323/795] 603633.SH: fetched=169, saved=91, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:53,374 [INFO] __main__: [324/795] 603636.SH: fetched=594, saved=170, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分

Process running. session_id: 2f7d83535964
Elapsed: 278.3s
Wait target not observed: '回补完成!'
