2026-08-11 16:09:20,720 [INFO] __main__: [129/1439] 300540.SZ: fetched=102, saved=101, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 22分
2026-08-11 16:09:21,173 [INFO] __main__: [130/1439] 300542.SZ: fetched=123, saved=120, filtered=2, err=0 | 进度: 60只/分, 预计剩余: 22分
2026-08-11 16:09:21,471 [INFO] __main__: [131/1439] 300543.SZ: fetched=148, saved=142, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 22分
2026-08-11 16:09:21,787 [INFO] __main__: [132/1439] 300545.SZ: fetched=136, saved=133, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 21分
2026-08-11 16:09:21,883 [INFO] __main__: [133/1439] 300546.SZ: fetched=61, saved=61, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 21分
2026-08-11 16:09:23,727 [INFO] __main__: [134/1439] 300547.SZ: fetched=206, saved=137, filtered=69, err=0 | 进度: 61只/分, 预计剩余: 21分
2026-08-11 16:09:24,470 [INFO] __main__: [135/1439] 300548.SZ: fetched=222, saved=191, filtered=29, err=0 | 进度: 61只/分, 预计剩余: 21分
2026-08-11 16:09:26,469 [INFO] __main__: [136/1439] 300549.SZ: fetched=101, saved=99, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 22分
2026-08-11 16:09:26,590 [INFO] __main__: [137/1439] 300552.SZ: fetched=58, saved=55, filtered=3, err=0 | 进度: 61只/分, 预计剩余: 21分
2026-08-11 16:09:27,418 [INFO] __main__: [138/1439] 300553.SZ: fetched=23, saved=23, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 21分
2026-08-11 16:09:27,509 [INFO] __main__: [139/1439] 300556.SZ: fetched=90, saved=25, filtered=65, err=0 | 进度: 61只/分, 预计剩余: 21分
2026-08-11 16:09:27,807 [INFO] __main__: [140/1439] 300557.SZ: fetched=113, saved=82, filtered=31, err=0 | 进度: 62只/分, 预计剩余: 21分
2026-08-11 16:09:28,245 [INFO] __main__: [141/1439] 300560.SZ: fetched=145, saved=122, filtered=22, err=0 | 进度: 62只/分, 预计剩余: 21分
2026-08-11 16:09:29,279 [INFO] __main__: [142/1439] 300563.SZ: fetched=200, saved=169, filtered=31, err=0 | 进度: 62只/分, 预计剩余: 21分
2026-08-11 16:09:30,088 [INFO] __main__: [143/1439] 300565.SZ: fetched=112, saved=111, filtered=0, err=0 | 进度: 62只/分, 预计剩余: 21分
2026-08-11 16:09:30,194 [INFO] __main__: [144/1439] 300566.SZ: fetched=38, saved=28, filtered=10, err=0 | 进度: 62只/分, 预计剩余: 21分
2026-08-11 16:09:31,365 [INFO] __main__: [145/1439] 300567.SZ: fetched=215, saved=143, filtered=72, err=0 | 进度: 62只/分, 预计剩余: 21分
2026-08-11 16:09:32,441 [INFO] __main__: [146/1439] 300568.SZ: fetched=179, saved=179, filtered=0, err=0 | 进度: 62只/分, 预计剩余: 21分
2026-08-11 16:09:32,750 [INFO] __main__: [147/1439] 300570.SZ: fetched=250, saved=204, filtered=44, err=0 | 进度: 63只/分, 预计剩余: 21分
2026-08-11 16:09:32,905 [INFO] __main__: [148/1439] 300571.SZ: fetched=71, saved=71, filtered=0, err=0 | 进度: 63只/分, 预计剩余: 20分
2026-08-11 16:09:33,779 [INFO] __main__: [149/1439] 300572.SZ: fetched=84, saved=60, filtered=22, err=0 | 进度: 63只/分, 预计剩余: 20分
